0,"Calocedrus rupestris Aver., T.H.Nguyên & P.K.Lôc"
1,Turbinicarpus subterraneus (Backeb.) A.D.Zimmerman
2,Eriosyce esmeraldana (F.Ritter) Katt.
3,Coleocephalocereus braunii Diers & Esteves
4,Mammillaria melaleuca Karw. ex Salm-Dyck
5,Corryocactus tarijensis Cárdenas
6,Parodia stockingeri (Prestlé) Hofacker & P.J.Braun
7,Ferocactus flavovirens Britton & Rose
8,Copiapoa cinerascens Britton & Rose
9,Melocactus andinus R.Gruber ex N.P.Taylor
10,Parodia nigrispina (K.Schum.) F.H.Brandt
11,Eriosyce crispa subsp. totoralensis (F.Ritter) Katt.
12,Matucana aureiflora F.Ritter
13,Leptocereus arboreus Britton & Rose
14,Cleistocactus winteri subsp. winteri
15,Echinocereus barthelowanus Britton & Rose
16,Copiapoa serpentisulcata F.Ritter
17,Peniocereus occidentalis Bravo
18,Coleocephalocereus diersianus P.J.Braun & Esteves
19,Gymnocalycium oenanthemum Backeb.
20,Echinopsis pampana (Britton & Rose) D.R.Hunt
21,Eriosyce calderana (F.Ritter) Ferryman
22,Rebutia krugerae (Cardenas) Backeb.
23,Peniocereus maculatus (Weing.) Cutak
24,Brasilicereus phaeacanthus (Gürke) Backeb.
25,Rebutia glomeriseta Cárdenas
26,Ferocactus chrysacanthus Britton & Rose
27,Disocactus macdougallii (Alexander) Barthlott
28,Cleistocactus sulcifer (Rauh & Backeb.) Leuenb.
29,Consolea spinosissima Lem.
30,Parodia muricata (Otto ex Pfeiff.) Hofacker
31,Disocactus eichlamii (Weing.) Britton & Rose
32,Mammillaria schumannii Hildm.
33,Pediocactus paradinei B.W.Benson
34,Eriosyce chilensis (Hildm. ex K.Schum.) Katt.
35,Pereskia quisqueyana Alain
36,Coleocephalocereus goebelianus (Vaupel) Buining
37,Discocactus ferricola Buining & Brederoo
38,Parodia rechensis (Buin.) F.H.Brandt
39,Schlumbergera orssichiana Barthlott & McMillan
40,Yavia cryptocarpa R.Kiesling & Piltz
41,
42,Hylocereus escuintlensis Kimnach
43,Pfeiffera micrantha (Vaupel) P.V.Heath
44,Copiapoa esmeraldana F.Ritter
45,Cleistocactus hoffmannii G.J.Charles
46,Copiapoa taltalensis (Werderm.) Looser
47,Gymnocalycium amerhauseri H.Till
48,Parodia nothorauschii D.R.Hunt
49,Weberocereus trichophorus H.Johnson & Kimnach
50,Hatiora herminiae Backeb. ex W.Barthlott
51,Eriosyce laui Lüthy
52,Copiapoa hypogaea F.Ritter
53,Mammillaria crucigera Mart.
54,Leptocereus grantianus Britton
55,Eriosyce umadeave (Werderm.) Katt.
56,Parodia werdermanniana (Herter) N.P.Taylor
57,Peniocereus lazaro-cardenasii (Contreras & al.) D.R.Hunt
58,Parodia hausteiniana Rausch
59,Copiapoa fiedleriana (K.Schum.) Backeb.
60,Mammillaria coahuilensis (Boed.) Moran
61,Parodia allosiphon (Marchesi) N.P.Taylor
62,Cleistocactus longiserpens Leuenb.
63,Frailea fulviseta Buining & Brederoo
64,Peniocereus zopilotensis (J.Meyrán) Buxb.
65,Gymnocalycium denudatum (Link & Otto) Pfeiff. ex Mittler
66,Cephalocereus senilis Pfeiff.
67,Pilosocereus quadricentralis (E.Y.Dawson) Backeb.
68,Leptocereus leonii Britton & Rose
69,Melocactus matanzanus León
70,Echinopsis oligotricha (Cárdenas) M.Lowry
71,Weberocereus imitans (Kimnach & Hutchison) Buxb.
72,Pseudorhipsalis alata (Sw.) Britton & Rose
73,
74,Parodia warasii (F.Ritter) F.H.Brandt
75,Echinocereus chisosensis W.T.Marshall
76,Discocactus diersianus Esteves
77,Copiapoa grandiflora F.Ritter
78,Eriosyce simulans (F.Ritter) Katt.
79,Pachycereus gaumeri Britton & Rose
80,Mammillaria carmenae Castañeda
81,Parodia nivosa (Frič) Backeb.
82,
83,Dendrocereus nudiflorus Britton & Roscoe
84,Mammillaria hernandezii Glass & R.Foster
85,Echinopsis hertrichiana (Backeb.) D.R.Hunt
86,Matucana ritteri Buining
87,Pygmaeocereus bieblii Diers
88,Hatiora epiphylloides (Porto & Werderm.) Buxb.
89,Gymnocalycium horstii var. buenekeri Buining
90,Pilosocereus diersianus (Esteves) P.J.Braun
91,Haageocereus pacalaensis Backeb.
92,Oroya peruviana Britton & Rose
93,Rhipsalis pentaptera Pfeiff.
94,Echinopsis angelesiae (R.Kiesling) G.D.Rowley
95,Myrtillocactus eichlamii Britton & Rose
96,Matucana madisoniorum (Hutchison) G.D.Rowley
97,Rhipsalis dissimilis K.Schum.
98,Hylocereus calcaratus Britton & Rose
99,Cylindropuntia hystrix (Griseb.) Areces
100,Corynopuntia reflexispina (Wiggins & Rollins) Backeb.
101,Leptocereus wrightii Leon
102,Parodia leninghausii (F.Haage) F.H.Brandt
103,Rhipsalis mesembryanthemoides Haw.
104,Parodia horstii (F.Ritter) N.P.Taylor
105,Corryocactus brachypetalus Britton & Rose
106,Echinopsis bolligeriana Mächler & Helmut Walter
107,Mammillaria surculosa Boed.
108,Sclerocactus nyensis Hochstätter
109,Echinopsis coquimbana (Molina) H.Friedrich & G.D.Rowley
110,Disocactus biformis (Lindl.) Lindl.
111,Eriosyce occulta Katt.
112,Gymnocalycium ragonesei A.Cast.
113,Pygmaeocereus bylesianus Andreae & Backeb.
114,Parodia herteri (Werderm.) N.P.Taylor
115,Matucana weberbaueri (Vaupel) Backeb.
116,Mammillaria parkinsonii Ehrenb.
117,Echinocereus nivosus Glass & R.A.Foster
118,Weberocereus frohningiorum Ralf Bauer
119,Maihueniopsis minuta (Backeb.) R.Kiesling
120,Mammillaria theresae Cutak
121,Echinocereus sciurus (K.Brandegee) Dams
122,Melocactus stramineus Suringar
123,Cleistocactus jajoanus (Backeb.) G.J.Charles
124,Gymnocalycium neuhuberi H.Till & W.Till
125,Eriosyce iquiquensis (F.Ritter) Ferryman
126,Echinocereus leucanthus N.P.Taylor
127,Mammillaria capensis (H.E.Gates) R.T.Craig
128,Weberbauerocereus cephalomacrostibas (Werderm. & Backeb.) F.Ritter
129,Echinopsis walteri (Kiesling) H.Friedrich & Glaetzle
130,Stenocereus chacalapensis (Bravo & T.MacDoug.) Buxb.
131,Cereus saddianus (Rizzini & A.Mattos) P.J.Braun
132,Peniocereus macdougallii Cutak
133,
134,Mammillaria peninsularis Orcutt
135,Frailea mammifera Buining & Brederoo
136,Hatiora cylindrica Britton & Rose
137,Parodia tenuicylindrica (F.Ritter) D.R.Hunt
138,"Matucana huagalensis (Donald & A.B.Lau) Bregmann, Meerst., Melis & Pullen"
139,Escobaria cubensis (Britton & Rose) D.R.Hunt
140,Stenocereus martinezii (J.G.Ortega) Buxb.
141,Parodia rudibuenekeri (W.R.Abraham) Hofacker & P.J.Braun
142,Epiphyllum lepidocarpum Britton & Rose
143,Parodia mueller-melchersii (Backeb.) N.P.Taylor
144,Echinopsis caulescens (F.Ritter) M.Lowry
145,Mammillaria pectinifera F.A.C.Weber
146,Leptocereus scopulophilus Areces
147,Parodia arnostiana (Lisal & Kolarik) Hofacker
148,Parodia neohorstii (S.Theun.) N.P.Taylor
149,Coryphantha potosiana (Jacobi) Glass & R.A.Foster
150,Corynopuntia bulbispina (Engelm.) F.M.Knuth
151,Parodia penicillata Fechser & Steeg
152,Parodia magnifica (F.Ritter) F.H.Brandt
153,Astrophytum caput-medusae (Velazco & Nevárez) D.R.Hunt
154,Echinocereus schmollii (Weing.) N.P.Taylor
155,Copiapoa solaris (F.Ritter) F.Ritter
156,Cleistocactus xylorhizus (F.Ritter) Ostolaza
157,Schlumbergera russelliana Britton & Rose
158,Selenicereus atropilosus Kimnach
159,Arrojadoa marylaniae Soares Filho & M.Machado
160,Eriosyce sociabilis (F.Ritter) Katt.
161,Stenocereus humilis (Britton & Rose) D.R.Hunt
162,Ferocactus haematacanthus (Salm-Dyck) Borg ex Backeb.
163,Discocactus hartmannii Britton & Rose
164,"Matucana tuberculata (Donald) Bregmann, Meerst., Melis & Pullen"
165,Mammillaria zublerae Repp.
166,Mammillaria johnstonii Orcutt
167,Stenocereus chrysocarpus Sánchez-Mej.
168,Coleocephalocereus pluricostatus Buining & Brederoo
169,Parodia crassigibba (F.Ritter) N.P.Taylor
170,Eriosyce aspillagae (Söhrens) Katt.
171,Leptocereus carinatus Areces
172,Mammillaria laui subsp. subducta (D.R.Hunt) D.R.Hunt
173,
174,Haageocereus tenuis F.Ritter
175,Pilosocereus ulei (K.Schum.) Byles & G.D.Rowley
176,Mammillaria humboldtii Ehrenb.
177,Mammillaria supertexta hort. ex Pfeiff.
178,Copiapoa decorticans N.P.Taylor & G.J.Charles
179,Coryphantha pulleineana (Backeb.) Glass
180,Frailea buenekeri W.R.Abraham
181,Austrocactus spiniflorus (Phil.) F.Ritter
182,Frailea curvispina Buining & Brederoo
183,Mammillaria eichlamii Quehl
184,Parodia buiningii (Buxb.) N.P.Taylor
185,Copiapoa ahremephiana N.P.Taylor & G.J.Charles
186,Corryocactus ayacuchoensis Rauh & Backeb.
187,
188,Narthecium reverchonii Čelak.
189,Streptocarpus hirsutissimus E.A.Bruce
190,Streptocarpus thysanotus Hilliard & B.L.Burtt
191,Coffea kimbozensis Bridson
192,Saintpaulia teitensis B.L.Burtt
193,Streptocarpus pallidiflorus C.B.Clarke
194,Streptocarpus bambuseti B.L.Burtt
195,Coffea bridsoniae A.P.Davis & Mvungi
196,Streptocarpus caulescens Vatke
197,Streptocarpus schliebenii Mansf.
198,Streptocarpus heckmannianus (Engl.) I.Darbysh.
199,Streptocarpus saxorum Engl.
200,Streptocarpus euanthus Mansf.
201,Coffea schliebenii Bridson
202,Saintpaulia goetzeana Engl.
203,Emilia bellioides (Chiov.) C.Jeffrey
204,Streptocarpus kungwensis Hilliard & B.L.Burtt
205,Streptocarpus compressus B.L.Burtt
206,Streptocarpus albus (E.A.Bruce) I.Darbysh.
207,Saintpaulia ionantha subsp. mafiensis I.Darbysh. & Pócs
208,Coffea sessiliflora Bridson
209,Streptocarpus kirkii Hook.f.
210,Streptocarpus holstii Engl.
211,Streptocarpus bullatus Mansf.
212,Saintpaulia pusilla Engl.
213,Streptocarpus gonjaensis Engl.
214,Clerodendrum lutambense Verdc.
215,Bulbostylis boeckleriana (Schweinf.) Beetle
216,Streptocarpus subscandens (B.L.Burtt) I.Darbysh.
217,Coffea kihansiensis A.P.Davis & Mvungi
218,Streptocarpus stomandrus B.L.Burtt
219,Streptocarpus parensis B.L.Burtt
220,Streptocarpus burttianus Pócs
221,Streptocarpus montanus Oliv.
222,Streptocarpus kimbozanus B.L.Burtt
223,Streptocarpus inflatus B.L.Burtt
224,Saintpaulia shumensis B.L.Burtt
225,Saintpaulia inconspicua B.L.Burtt
226,Acacia nilotica Schumach. & Thonn.
227,"Nepenthes attenboroughii A.S.Rob., S.McPherson & V.B.Heinrich"
228,"Anthyllis hystrix (Willk. ex F.Barceló) Cardona, Contandr. & E.Sierra"
229,Aldrovanda vesiculosa L.
230,Primula boveana Decne. ex Duby
231,Eleocharis palustris (L.) Roem. & Schult.
232,Veronica anagallis-aquatica L.
233,Cyperus laevigatus L.
234,Phalaris arundinacea L.
235,Leersia oryzoides (L.) Sw.
236,Alopecurus aequalis Sobol.
237,Ranunculus sceleratus var. sceleratus
238,Potamogeton perfoliatus L.
239,Eleocharis acicularis (L.) Roem. & Schult.
240,Brachiaria mutica Stapf
241,Bolboschoenus maritimus subsp. paludosus (A.Nelson) T.Koyama
242,Nasturtium officinale W.T.Aiton
243,Myriophyllum verticillatum L.
244,Arundo donax L.
245,Epilobium hirsutum L.
246,
247,Echinochloa colona (L.) Link
248,Persicaria lapathifolia (L.) Delarbre
249,"Zannichellia obtusifolia Talavera, P.García Murillo & H.Smit"
250,Callitriche pulchra Schotsman
251,Epilobium parviflorum (Schreb.) Schreb.
252,
253,Catabrosa aquatica P.Beauv.
254,Potentilla supina L.
255,Paspalidium geminatum Retz.
256,Lycopodium madeirense G.L.Eaton
257,"Asplenium azoricum J.D.Lovis, H.Rasbach, K.Rasbach & Reichst."
258,Vicia esdraelonensis Warb. & Eig
259,
260,Ventenata blanchei Boiss.
261,Bellevalia warburgii Feinbrun
262,"Ornithogalum fuscescens Boiss., Gaill. & Feinbrun"
263,Iris grant-duffii Baker
264,Elatine triandra Schkuhr
265,Hippuris vulgaris L.
266,Nuphar pumila (Timm) DC.
267,Potamogeton friesii Rupr.
268,Utricularia limosa R.Br.
269,Veronica peregrina L.
270,Isachne globosa (Thunb.) Kuntze
271,Najas gracillima A.Braun ex Magnus
272,Poa annua L.
273,Epilobium palustre L.
274,Beckmannia syzigachne Fernald
275,Utricularia striatula Sm.
276,Utricularia uliginosa Vahl
277,Drosera rotundifolia L.
278,Calamagrostis pseudophragmites (Haller f.) Koeler
279,
280,Cyperus pumilus L.
281,Ipomoea aquatica Forssk.
282,Cyperus alternifolius subsp. textilis (Thunb.) Verloove
283,
284,Utricularia minutissima J.Vahl
285,Phragmites karka (Retz.) Steud.
286,Plantago major var. japonica (Franch. & Sav.) Miyabe
287,Schoenoplectiella supina (L.) Lye
288,Persicaria barbata (L.) Hara
289,Paspalum scrobiculatum L.
290,Utricularia hirta Klein ex Link
291,Paspalum distichum L.
292,Brachiaria reptans (L.) C.A.Gardner & C.E.Hubb.
293,Fimbristylis quinquangularis subsp. quinquangularis
294,Ludwigia octovalvis (Jacq.) P.H.Raven
295,Azolla microphylla Kaulf.
296,
297,Nelumbo lutea Willd.
298,Vigna hosei Backer ex K.Heyne
299,Vigna keraudrenii Du Puy & Labat
300,Vigna monantha Thulin
301,Vigna schlechteri Harms
302,
303,Diospyros longiflora Letouzey & F.White
304,Diospyros candolleana Wight
305,Diospyros soyauxii Gürke & K.Schum. ex Gürke
306,Diospyros platanoides Letouzey & F.White
307,Diospyros anosivolensis H.Perrier
308,Diospyros cinnamomoides H.Perrier
309,Diospyros nur B.Walln.
310,Diospyros inhacaensis F.White
311,Diospyros alboflavescens (Gürke) F.White
312,Diospyros paniculata Dalzell
313,Diospyros decaryana H.Perrier
314,Diospyros yomomo B.Walln.
315,Diospyros lanceolata Poir.
316,Schoenoplectus tabernaemontani (C.C.Gmel.) Palla
317,Persicaria maculosa Gray
318,Salix xanthicola K.I.Chr.
319,Vicia serratifolia Jacq.
320,Vicia sericocarpa Fenzl
321,Vicia narbonensis L.
322,Vicia johannis Tamamsch.
323,Vicia ciliatula Lipsky
324,Vicia barbazitae Guss. & Ten.
325,Vicia hyaeniscyamus Mouterde
326,Vicia lutea L.
327,"Vicia kalakhensis A.Khattab, N.Maxted & F.A.Bisby"
328,Vicia assyriaca Boiss.
329,Vicia pannonica Crantz
330,Vicia melanops Sibth. & Sm.
331,Vicia tigridis Mouterde
332,Vicia galeata Boiss.
333,Vicia qatmensis Gomb.
334,Vicia grandiflora Scop.
335,Vicia mollis Boiss. & Hausskn. ex Boiss.
336,Vicia hybrida L.
337,Vicia hyrcanica Fisch. & C.A.Mey.
338,Isatis arnoldiana N.Busch
339,Oryza grandiglumis Prodoehl
340,
341,Oryza brachyantha A.Chev. & Roehrich
342,Oryza glaberrima Steud.
343,Najas guadalupensis (Spreng.) Magnus
344,Pteris vittata subsp. vittata
345,Oryza barthii A.Chev.
346,Oryza eichingeri Peter
347,Oryza latifolia Desv.
348,Scleria biflora Roxb.
349,Paspalum vaginatum Sw.
350,Balaka streptostachys D.Fuller & Dowe
351,
352,Hydriastele boumae W.J.Baker & D.Watling
353,Metroxylon vitiense Benth. & Hook.f.
354,Physokentia petiolata (Burret) D.Fuller
355,Veitchia filifera (H.Wendl.) H.E.Moore
356,Hylebates chlorochloe (K.Schum.) Napper
357,Triaspis schliebenii Ernst
358,
359,Kotschya recurvifolia (Taub.) F.White
360,Memecylon deminutum Brenan
361,Pteris usambarensis Hier.
362,Lijndenia procteri (A.Fern. & R.Fern.) Borhidi
363,Habenaria isoantha Schltr.
364,Mystacidium pulchellum Schltr.
365,
366,Ormocarpum schliebenii Harms
367,Stolzia oligantha Mansf.
368,Gravesia riparia A.Fern. & R.Fern.
369,Oncella gracilis Balle ex Polhill & Wiens
370,Stolzia viridis P.J.Cribb
371,Warneckea erubescens (Gilg) Jacq.-Fél.
